Name in documentation	Qty	Full Name	Supplier 1	Part No	Link
0.1uF SMD Capacitor	2	capacitor_603	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
10uF SMD Capacitor	2	capacitor_603	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
10x1 Female Pin Header	1	Female_pin_headers	Amazon	B07CWSXY7P	https://www.amazon.com/Glarks-Connector-Assortment-Stackable-Breakaway/dp/B07CWSXY7P/ref=asc_df_B07CWSXY7P/?tag=hyprod-20&linkCode=df0&hvadid=309881068962&hvpos=&hvnetw=g&hvrand=446310297657975915&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9002230&hvtargid=pla-568363546467&psc=1
16x1 Female Pin Header	2	Female_pin_headers	Amazon	B07CWSXY7P	https://www.amazon.com/Glarks-Connector-Assortment-Stackable-Breakaway/dp/B07CWSXY7P/ref=asc_df_B07CWSXY7P/?tag=hyprod-20&linkCode=df0&hvadid=309881068962&hvpos=&hvnetw=g&hvrand=446310297657975915&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9002230&hvtargid=pla-568363546467&psc=1
1k SMD Resistor	1	resistor_603	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
2k SMD Resistor	2	resistor_603	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
300 SMD Resistor	3	resistor_603	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
35pF SMD Capacitor	2	capacitor_603	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
50 SMD Resistor	1	resistor_603	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
7x1 Female Pin Header	1	Female_pin_headers	Amazon	B07CWSXY7P	https://www.amazon.com/Glarks-Connector-Assortment-Stackable-Breakaway/dp/B07CWSXY7P/ref=asc_df_B07CWSXY7P/?tag=hyprod-20&linkCode=df0&hvadid=309881068962&hvpos=&hvnetw=g&hvrand=446310297657975915&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9002230&hvtargid=pla-568363546467&psc=1
Curved Soldering Iron Tip	1	OP295GPZ OP Amp	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
INA592 Diff Amp	1	INA592IDGKR difference amp	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
LM358 OP Amp	1	LM358 OP Amp	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
REF200 Current Source	1	REF200AU2K5 current sink	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
SPDT Switch	6	MAX4644EUA+T SPDT switch	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
Straight Soldering Iron Tip	1	ARDUINO_NANO_33_IoT	Amazon	B09SFT7L731	https://www.amazon.com/CenryKay-Soldering-Electric-Universal-Pack%EF%BC%88Silver%EF%BC%89/dp/B09SFT7L73/ref=sr_1_1?keywords=B09SFT7L73&qid=1650653235&sr=8-1&th=1
