Name in documentation	Qty	Full Name	Supplier 1	Part No	Link
0.1uF SMD Capacitor	2	capacitor_603	Amazon	B071J24G7D	https://amz.run/5Yli
10uF SMD Capacitor	2	capacitor_603	Amazon	B071J24G7D	https://amz.run/5Yli
10x1 Female Pin Header	1	Female_pin_headers	Amazon	B09BDX69VX	https://amz.run/5Ylj
16x1 Female Pin Header	2	Female_pin_headers	Amazon	B09BDX69VX	https://amz.run/5Ylj
1k SMD Resistor	1	resistor_603	Amazon	B071J24G7D	https://amz.run/5Yli
2k SMD Resistor	2	resistor_603	Amazon	B071J24G7D	https://amz.run/5Yli
300 SMD Resistor	3	resistor_603	Amazon	B071J24G7D	https://amz.run/5Yli
35pF SMD Capacitor	2	capacitor_603	Amazon	B071J24G7D	https://amz.run/5Yli
50 SMD Resistor	1	resistor_603	Amazon	B071J24G7D	https://amz.run/5Yli
7x1 Female Pin Header	1	Female_pin_headers	Amazon	B09BDX69VX	https://amz.run/5Ylj
Curved Soldering Iron Tip	1	900M-SI curved soldering iron tip	Amazon	B07QV6SR6S	https://amz.run/5YmG
Grabber Tool	1	Grabber tool	Amazon	B0912CGW3V	https://amz.run/5YmU
INA592 Diff Amp	1	INA592IDGKR difference amp	Amazon	INA592IDT	https://www.mouser.com/ProductDetail/595-INA592IDT
LM358 OP Amp	1	LM358 OP Amp	Amazon	B07WQWPLSP	https://amz.run/5Yll
REF200 Current Source	1	REF200AU2K5 current sink	Amazon	REF200AU/2K5	https://www.mouser.com/ProductDetail/595-REF200AU-2K5
Soldering Iron	1	Soldeirng Iron	Amazon	B01DGZFSNE	https://amz.run/5YmQ
SPDT Switch	6	MAX4644EUAT SPDT switch	Amazon	MAX4644EUAT	https://www.mouser.com/ProductDetail/700-MAX4644EUA%2bT
Straight Soldering Iron Tip	1	900M-I straight, fine soldering iron tip	Amazon	B07QV6SR6S	https://amz.run/5YmG
